access,availability,subtype,doc_type,domain,equipment,manufacturer,model_number,url,title,tags,overwrite,download,status
"customer_assist,agent_assist,tech_assist",global,Hot Tops,manual,commercial_kitchen,counter_top_cooking,garland,E24-12H,Z:\content\commercial_kitchen\counter_top_cooking\garland\0de174edf3e8f930430f23a0a2f9f65c.pdf,"Installation Guide, Operating Instructions, Owner Instruction Manual",oem_generated,false,false,ERROR:PDF file is Invalid 
"customer_assist,agent_assist,tech_assist",global,Hot Tops,manual,commercial_kitchen,counter_top_cooking,garland,E24-12H,Z:\content\commercial_kitchen\counter_top_cooking\garland\0d6b742f1067ea4bfba1c5cd0c1795f5.pdf,"Parts Catalog List
",oem_generated,false,false,ERROR:PDF file is Invalid 
"customer_assist,agent_assist,tech_assist",global,Hot Tops,manual,commercial_kitchen,counter_top_cooking,garland,E24-12H,Z:\content\commercial_kitchen\counter_top_cooking\garland\0de174edf3e8f930430f23a0a2f9f65c.pdf,"Service Checklist
",oem_generated,false,false,ERROR:PDF file is Invalid 
"customer_assist,agent_assist,tech_assist",global,Hot Tops,manual,commercial_kitchen,counter_top_cooking,garland,E24-12H,Z:\content\commercial_kitchen\counter_top_cooking\garland\0d6b742f1067ea4bfba1c5cd0c1795f5.pdf,Specification Sheets,oem_generated,false,false,ERROR:PDF file is Invalid 
